WMO,Location,State,Country,Latitude,Longitude,Elevation,ClimateZone
603900,DZA_Algiers.603900_IWEC,,DZA,36.72,3.25,,3A
623870,EGY_Al.Minya.623870_ETMY,,EGY,28.08,30.73,,2B
623180,EGY_Alexandria.623180_ETMY,,EGY,31.2,29.95,,2A
624140,EGY_Aswan.624140_ETMY,,EGY,23.97,32.78,,1B
624140,EGY_Aswan.624140_ETMY,,EGY,23.97,32.78,,1B
623930,EGY_Asyut.623930_ETMY,,EGY,27.05,31.02,,2B
623660,EGY_Cairo.Intl.Airport.623660_ETMY,,EGY,30.13,31.4,,2B
623660,EGY_Cairo.Intl.Airport.623660_ETMY,,EGY,30.13,31.4,,2B
623370,EGY_El.Arish.623370_ETMY,,EGY,31.08,33.82,,2A
623780,EGY_Helwan.623780_ETMY,,EGY,29.87,31.33,,2B
624630,EGY_Hurghada.624630_ETMY,,EGY,27.15,33.72,,1B
624400,EGY_Ismailia.624400_ETMY,,EGY,30.6,32.25,,2B
624350,EGY_Kharga.624350_ETMY,,EGY,25.45,30.53,,1B
624050,EGY_Luxor.624050_ETMY,,EGY,25.67,32.7,,1B
634500,ETH_Addis.Ababa-Bole.634500_SWERA,,ETH,8.98,38.8,,3C
634600,ETH_Awassa.634600_SWERA,,ETH,7.07,38.05,,
633320,ETH_Bahar.Dar.633320_SWERA,,ETH,11.6,37.4,,
633330,ETH_Combolcha.633330_SWERA,,ETH,11.08,39.72,,2A
633340,ETH_Debre.Marcos.633340_SWERA,,ETH,10.35,37.72,,3C
634710,ETH_Dire.Dawa.634710_SWERA,,ETH,9.6,41.87,,1B
633310,ETH_Gondar.633310_SWERA,,ETH,12.53,37.43,,2A
634020,ETH_Jimma.634020_SWERA,,ETH,7.67,36.83,,3A
634530,ETH_Metehara.634530_SWERA,,ETH,8.83,39.78,,1B
654720,GHA_Accra.654720_SWERA,,GHA,5.6,-0.17,,1A
636860,KEN_Eldoret.636860_SWERA,,KEN,0.53,35.28,,3A
637200,KEN_Embu.637200_SWERA,,KEN,-0.5,37.45,,3A
637230,KEN_Garissa.637230_SWERA,,KEN,-0.47,39.63,,1B
636870,KEN_Kakamega.636870_SWERA,,KEN,0.28,34.78,,
637090,KEN_Kisii.637090_SWERA,,KEN,-0.67,34.78,,
637080,KEN_Kisumu.637080_SWERA,,KEN,-0.1,34.75,,
636610,KEN_Kitale.636610_SWERA,,KEN,1.02,35,,3A
637720,KEN_Lamu-Manda.Island.637720_SWERA,,KEN,-2.27,40.83,,1A
636120,KEN_Lodwar.636120_SWERA,,KEN,3.12,35.62,,1B
